================================================================================
RECUEIL OFFICIEL DES 360 MATRICES FISCALES DE CORSE (ETATS 1259 / DGFIP)
================================================================================

Code | Commune | Pop | Manque Fiscal / An | Equivalent Routes | Cantine Gratuite
--------------------------------------------------------------------------------
2A001 | Afa | 3350 | 4020000 EUR | 47.3 km | 9 ans
2B002 | Aghione | 258 | 309600 EUR | 3.6 km | 8 ans
2B003 | Aiti | 27 | 32400 EUR | 0.4 km | 3 ans
2A004 | Ajaccio | 76320 | 91584000 EUR | 1077.5 km | 9 ans
2B005 | Alando | 30 | 36000 EUR | 0.4 km | 4 ans
2A006 | Alata | 3681 | 4417200 EUR | 52.0 km | 9 ans
2B007 | Albertacce | 196 | 235200 EUR | 2.8 km | 8 ans
2A008 | Albitreccia | 1833 | 2199600 EUR | 25.9 km | 9 ans
2B010 | Algajola | 363 | 435600 EUR | 5.1 km | 8 ans
2A011 | Altagène | 52 | 62400 EUR | 0.7 km | 5 ans
2B012 | Altiani | 53 | 63600 EUR | 0.7 km | 5 ans
2B013 | Alzi | 27 | 32400 EUR | 0.4 km | 3 ans
2B009 | Aléria | 2267 | 2720400 EUR | 32.0 km | 9 ans
2A014 | Ambiegna | 79 | 94800 EUR | 1.1 km | 6 ans
2B015 | Ampriani | 23 | 27600 EUR | 0.3 km | 3 ans
2B016 | Antisanti | 591 | 709200 EUR | 8.3 km | 9 ans
2A017 | Appietto | 1749 | 2098800 EUR | 24.7 km | 9 ans
2A018 | Arbellara | 165 | 198000 EUR | 2.3 km | 7 ans
2A019 | Arbori | 53 | 63600 EUR | 0.7 km | 5 ans
2B020 | Aregno | 588 | 705600 EUR | 8.3 km | 9 ans
2A021 | Argiusta-Moriccio | 75 | 90000 EUR | 1.1 km | 6 ans
2A022 | Arro | 80 | 96000 EUR | 1.1 km | 6 ans
2B023 | Asco | 116 | 139200 EUR | 1.6 km | 7 ans
2A024 | Aullène | 184 | 220800 EUR | 2.6 km | 8 ans
2B025 | Avapessa | 80 | 96000 EUR | 1.1 km | 6 ans
2A026 | Azilone-Ampaza | 208 | 249600 EUR | 2.9 km | 8 ans
2A027 | Azzana | 49 | 58800 EUR | 0.7 km | 5 ans
2A028 | Balogna | 135 | 162000 EUR | 1.9 km | 7 ans
2B029 | Barbaggio | 362 | 434400 EUR | 5.1 km | 8 ans
2B030 | Barrettali | 174 | 208800 EUR | 2.5 km | 8 ans
2A031 | Bastelica | 522 | 626400 EUR | 7.4 km | 9 ans
2A032 | Bastelicaccia | 4411 | 5293200 EUR | 62.3 km | 9 ans
2B033 | Bastia | 46867 | 56240400 EUR | 661.7 km | 9 ans
2B034 | Belgodère | 835 | 1002000 EUR | 11.8 km | 9 ans
2A035 | Belvédère-Campomoro | 213 | 255600 EUR | 3.0 km | 8 ans
2B036 | Bigorno | 97 | 116400 EUR | 1.4 km | 6 ans
2B037 | Biguglia | 7642 | 9170400 EUR | 107.9 km | 9 ans
2A038 | Bilia | 54 | 64800 EUR | 0.8 km | 5 ans
2B039 | Bisinchi | 183 | 219600 EUR | 2.6 km | 8 ans
2A040 | Bocognano | 419 | 502800 EUR | 5.9 km | 9 ans
2A041 | Bonifacio | 3344 | 4012800 EUR | 47.2 km | 9 ans
2B042 | Borgo | 10311 | 12373200 EUR | 145.6 km | 9 ans
2B043 | Brando | 1584 | 1900800 EUR | 22.4 km | 9 ans
2B045 | Bustanico | 65 | 78000 EUR | 0.9 km | 6 ans
2B046 | Cagnano | 148 | 177600 EUR | 2.1 km | 7 ans
2B047 | Calacuccia | 272 | 326400 EUR | 3.8 km | 8 ans
2A048 | Calcatoggio | 516 | 619200 EUR | 7.3 km | 9 ans
2B049 | Calenzana | 2684 | 3220800 EUR | 37.9 km | 9 ans
2B050 | Calvi | 5788 | 6945600 EUR | 81.7 km | 9 ans
2B051 | Cambia | 61 | 73200 EUR | 0.9 km | 5 ans
2B052 | Campana | 22 | 26400 EUR | 0.3 km | 3 ans
2B053 | Campi | 19 | 22800 EUR | 0.3 km | 3 ans
2B054 | Campile | 181 | 217200 EUR | 2.6 km | 8 ans
2B055 | Campitello | 107 | 128400 EUR | 1.5 km | 7 ans
2A056 | Campo | 102 | 122400 EUR | 1.4 km | 7 ans
2B057 | Canale-di-Verde | 302 | 362400 EUR | 4.3 km | 8 ans
2B058 | Canari | 305 | 366000 EUR | 4.3 km | 8 ans
2B059 | Canavaggia | 123 | 147600 EUR | 1.7 km | 7 ans
2A060 | Cannelle | 70 | 84000 EUR | 1.0 km | 6 ans
2A061 | Carbini | 117 | 140400 EUR | 1.7 km | 7 ans
2A062 | Carbuccia | 379 | 454800 EUR | 5.4 km | 9 ans
2B063 | Carcheto-Brustico | 57 | 68400 EUR | 0.8 km | 5 ans
2A064 | Cardo-Torgia | 32 | 38400 EUR | 0.5 km | 4 ans
2A066 | Cargiaca | 64 | 76800 EUR | 0.9 km | 6 ans
2A065 | Cargèse | 1150 | 1380000 EUR | 16.2 km | 9 ans
2B067 | Carpineto | 38 | 45600 EUR | 0.5 km | 4 ans
2B068 | Carticasi | 25 | 30000 EUR | 0.4 km | 3 ans
2B069 | Casabianca | 123 | 147600 EUR | 1.7 km | 7 ans
2A070 | Casaglione | 571 | 685200 EUR | 8.1 km | 9 ans
2A071 | Casalabriva | 235 | 282000 EUR | 3.3 km | 8 ans
2B072 | Casalta | 51 | 61200 EUR | 0.7 km | 5 ans
2B073 | Casamaccioli | 115 | 138000 EUR | 1.6 km | 7 ans
2B074 | Casanova | 384 | 460800 EUR | 5.4 km | 9 ans
2B075 | Casevecchie | 69 | 82800 EUR | 1.0 km | 6 ans
2B077 | Castellare-di-Casinca | 701 | 841200 EUR | 9.9 km | 9 ans
2B078 | Castellare-di-Mercurio | 31 | 37200 EUR | 0.4 km | 4 ans
2B079 | Castello-di-Rostino | 522 | 626400 EUR | 7.4 km | 9 ans
2B080 | Castifao | 168 | 201600 EUR | 2.4 km | 8 ans
2B081 | Castiglione | 40 | 48000 EUR | 0.6 km | 4 ans
2B082 | Castineta | 34 | 40800 EUR | 0.5 km | 4 ans
2B083 | Castirla | 166 | 199200 EUR | 2.3 km | 7 ans
2B084 | Cateri | 247 | 296400 EUR | 3.5 km | 8 ans
2A085 | Cauro | 1486 | 1783200 EUR | 21.0 km | 9 ans
2B086 | Centuri | 175 | 210000 EUR | 2.5 km | 8 ans
2B087 | Cervione | 2149 | 2578800 EUR | 30.3 km | 9 ans
2B088 | Chiatra | 231 | 277200 EUR | 3.3 km | 8 ans
2B366 | Chisa | 104 | 124800 EUR | 1.5 km | 7 ans
2A089 | Ciamannacce | 129 | 154800 EUR | 1.8 km | 7 ans
2A090 | Coggia | 818 | 981600 EUR | 11.5 km | 9 ans
2A091 | Cognocoli-Monticchi | 172 | 206400 EUR | 2.4 km | 8 ans
2A092 | Conca | 1175 | 1410000 EUR | 16.6 km | 9 ans
2B093 | Corbara | 962 | 1154400 EUR | 13.6 km | 9 ans
2A094 | Corrano | 75 | 90000 EUR | 1.1 km | 6 ans
2B095 | Corscia | 123 | 147600 EUR | 1.7 km | 7 ans
2B096 | Corte | 7819 | 9382800 EUR | 110.4 km | 9 ans
2B097 | Costa | 49 | 58800 EUR | 0.7 km | 5 ans
2A098 | Coti-Chiavari | 737 | 884400 EUR | 10.4 km | 9 ans
2A099 | Cozzano | 282 | 338400 EUR | 4.0 km | 8 ans
2A100 | Cristinacce | 77 | 92400 EUR | 1.1 km | 6 ans
2B101 | Croce | 78 | 93600 EUR | 1.1 km | 6 ans
2B102 | Crocicchia | 81 | 97200 EUR | 1.1 km | 6 ans
2A103 | Cuttoli-Corticchiato | 2060 | 2472000 EUR | 29.1 km | 9 ans
2A104 | Eccica-Suarella | 1389 | 1666800 EUR | 19.6 km | 9 ans
2B105 | Erbajolo | 90 | 108000 EUR | 1.3 km | 6 ans
2B107 | Ersa | 124 | 148800 EUR | 1.8 km | 7 ans
2B109 | Farinole | 236 | 283200 EUR | 3.3 km | 8 ans
2B110 | Favalello | 71 | 85200 EUR | 1.0 km | 6 ans
2B111 | Felce | 54 | 64800 EUR | 0.8 km | 5 ans
2B112 | Feliceto | 232 | 278400 EUR | 3.3 km | 8 ans
2B113 | Ficaja | 54 | 64800 EUR | 0.8 km | 5 ans
2A114 | Figari | 1772 | 2126400 EUR | 25.0 km | 9 ans
2A115 | Foce | 151 | 181200 EUR | 2.1 km | 7 ans
2B116 | Focicchia | 36 | 43200 EUR | 0.5 km | 4 ans
2A117 | Forciolo | 93 | 111600 EUR | 1.3 km | 6 ans
2A118 | Fozzano | 210 | 252000 EUR | 3.0 km | 8 ans
2A119 | Frasseto | 134 | 160800 EUR | 1.9 km | 7 ans
2B120 | Furiani | 6585 | 7902000 EUR | 93.0 km | 9 ans
2B121 | Galéria | 395 | 474000 EUR | 5.6 km | 9 ans
2B122 | Gavignano | 61 | 73200 EUR | 0.9 km | 5 ans
2B123 | Ghisonaccia | 4405 | 5286000 EUR | 62.2 km | 9 ans
2B124 | Ghisoni | 182 | 218400 EUR | 2.6 km | 8 ans
2B125 | Giocatojo | 46 | 55200 EUR | 0.6 km | 5 ans
2B126 | Giuncaggio | 91 | 109200 EUR | 1.3 km | 6 ans
2A127 | Giuncheto | 106 | 127200 EUR | 1.5 km | 7 ans
2A128 | Granace | 92 | 110400 EUR | 1.3 km | 6 ans
2A129 | Grossa | 74 | 88800 EUR | 1.0 km | 6 ans
2A130 | Grosseto-Prugna | 3900 | 4680000 EUR | 55.1 km | 9 ans
2A131 | Guagno | 145 | 174000 EUR | 2.0 km | 7 ans
2A132 | Guargualé | 146 | 175200 EUR | 2.1 km | 7 ans
2A133 | Guitera-les-Bains | 154 | 184800 EUR | 2.2 km | 7 ans
2B135 | Isolaccio-di-Fiumorbo | 330 | 396000 EUR | 4.7 km | 8 ans
2B134 | L'Île-Rousse | 3231 | 3877200 EUR | 45.6 km | 9 ans
2B246 | La Porta | 187 | 224400 EUR | 2.6 km | 8 ans
2B136 | Lama | 155 | 186000 EUR | 2.2 km | 7 ans
2B137 | Lano | 21 | 25200 EUR | 0.3 km | 3 ans
2B138 | Lavatoggio | 154 | 184800 EUR | 2.2 km | 7 ans
2A139 | Lecci | 2134 | 2560800 EUR | 30.1 km | 9 ans
2B140 | Lento | 117 | 140400 EUR | 1.7 km | 7 ans
2A141 | Letia | 111 | 133200 EUR | 1.6 km | 7 ans
2A142 | Levie | 674 | 808800 EUR | 9.5 km | 9 ans
2B143 | Linguizzetta | 1166 | 1399200 EUR | 16.5 km | 9 ans
2A144 | Lopigna | 113 | 135600 EUR | 1.6 km | 7 ans
2B145 | Loreto-di-Casinca | 188 | 225600 EUR | 2.7 km | 8 ans
2A146 | Loreto-di-Tallano | 47 | 56400 EUR | 0.7 km | 5 ans
2B147 | Lozzi | 110 | 132000 EUR | 1.6 km | 7 ans
2B148 | Lucciana | 6923 | 8307600 EUR | 97.7 km | 9 ans
2B149 | Lugo-di-Nazza | 85 | 102000 EUR | 1.2 km | 6 ans
2B150 | Lumio | 1224 | 1468800 EUR | 17.3 km | 9 ans
2B152 | Luri | 872 | 1046400 EUR | 12.3 km | 9 ans
2B153 | Manso | 116 | 139200 EUR | 1.6 km | 7 ans
2A154 | Marignana | 100 | 120000 EUR | 1.4 km | 7 ans
2B155 | Matra | 54 | 64800 EUR | 0.8 km | 5 ans
2B156 | Mausoléo | 24 | 28800 EUR | 0.3 km | 3 ans
2B157 | Mazzola | 22 | 26400 EUR | 0.3 km | 3 ans
2A158 | Mela | 37 | 44400 EUR | 0.5 km | 4 ans
2B159 | Meria | 81 | 97200 EUR | 1.1 km | 6 ans
2A160 | Moca-Croce | 221 | 265200 EUR | 3.1 km | 8 ans
2B162 | Moltifao | 735 | 882000 EUR | 10.4 km | 9 ans
2A163 | Monacia-d'Aullène | 540 | 648000 EUR | 7.6 km | 9 ans
2B164 | Monacia-d'Orezza | 25 | 30000 EUR | 0.4 km | 3 ans
2B165 | Moncale | 348 | 417600 EUR | 4.9 km | 8 ans
2B166 | Monte | 650 | 780000 EUR | 9.2 km | 9 ans
2B167 | Montegrosso | 413 | 495600 EUR | 5.8 km | 9 ans
2B168 | Monticello | 2065 | 2478000 EUR | 29.2 km | 9 ans
2B169 | Morosaglia | 961 | 1153200 EUR | 13.6 km | 9 ans
2B170 | Morsiglia | 109 | 130800 EUR | 1.5 km | 7 ans
2B161 | Moïta | 59 | 70800 EUR | 0.8 km | 5 ans
2B171 | Muracciole | 33 | 39600 EUR | 0.5 km | 4 ans
2B172 | Murato | 560 | 672000 EUR | 7.9 km | 9 ans
2B173 | Muro | 243 | 291600 EUR | 3.4 km | 8 ans
2A174 | Murzo | 98 | 117600 EUR | 1.4 km | 7 ans
2B175 | Nessa | 122 | 146400 EUR | 1.7 km | 7 ans
2B176 | Nocario | 74 | 88800 EUR | 1.0 km | 6 ans
2B177 | Noceta | 73 | 87600 EUR | 1.0 km | 6 ans
2B178 | Nonza | 62 | 74400 EUR | 0.9 km | 5 ans
2B179 | Novale | 57 | 68400 EUR | 0.8 km | 5 ans
2B180 | Novella | 80 | 96000 EUR | 1.1 km | 6 ans
2A181 | Ocana | 657 | 788400 EUR | 9.3 km | 9 ans
2B182 | Occhiatana | 235 | 282000 EUR | 3.3 km | 8 ans
2B183 | Ogliastro | 90 | 108000 EUR | 1.3 km | 6 ans
2B184 | Olcani | 96 | 115200 EUR | 1.4 km | 6 ans
2B185 | Oletta | 1780 | 2136000 EUR | 25.1 km | 9 ans
2A186 | Olivese | 221 | 265200 EUR | 3.1 km | 8 ans
2B187 | Olmeta-di-Capocorso | 123 | 147600 EUR | 1.7 km | 7 ans
2B188 | Olmeta-di-Tuda | 583 | 699600 EUR | 8.2 km | 9 ans
2A189 | Olmeto | 1289 | 1546800 EUR | 18.2 km | 9 ans
2B190 | Olmi-Cappella | 190 | 228000 EUR | 2.7 km | 8 ans
2A191 | Olmiccia | 120 | 144000 EUR | 1.7 km | 7 ans
2B192 | Olmo | 138 | 165600 EUR | 1.9 km | 7 ans
2B193 | Omessa | 595 | 714000 EUR | 8.4 km | 9 ans
2B194 | Ortale | 25 | 30000 EUR | 0.4 km | 3 ans
2B195 | Ortiporio | 139 | 166800 EUR | 2.0 km | 7 ans
2A196 | Orto | 81 | 97200 EUR | 1.1 km | 6 ans
2A197 | Osani | 96 | 115200 EUR | 1.4 km | 6 ans
2A198 | Ota | 470 | 564000 EUR | 6.6 km | 9 ans
2B199 | Palasca | 222 | 266400 EUR | 3.1 km | 8 ans
2A200 | Palneca | 133 | 159600 EUR | 1.9 km | 7 ans
2B201 | Pancheraccia | 198 | 237600 EUR | 2.8 km | 8 ans
2B202 | Parata | 22 | 26400 EUR | 0.3 km | 3 ans
2A203 | Partinello | 94 | 112800 EUR | 1.3 km | 6 ans
2A204 | Pastricciola | 90 | 108000 EUR | 1.3 km | 6 ans
2B205 | Patrimonio | 897 | 1076400 EUR | 12.7 km | 9 ans
2B206 | Penta-Acquatella | 41 | 49200 EUR | 0.6 km | 4 ans
2B207 | Penta-di-Casinca | 3671 | 4405200 EUR | 51.8 km | 9 ans
2B208 | Perelli | 109 | 130800 EUR | 1.5 km | 7 ans
2A209 | Peri | 2044 | 2452800 EUR | 28.9 km | 9 ans
2B210 | Pero-Casevecchie | 109 | 130800 EUR | 1.5 km | 7 ans
2A211 | Petreto-Bicchisano | 572 | 686400 EUR | 8.1 km | 9 ans
2A212 | Piana | 452 | 542400 EUR | 6.4 km | 9 ans
2B213 | Pianello | 53 | 63600 EUR | 0.7 km | 5 ans
2B214 | Piano | 17 | 20400 EUR | 0.2 km | 2 ans
2A215 | Pianottoli-Caldarello | 749 | 898800 EUR | 10.6 km | 9 ans
2B216 | Piazzali | 19 | 22800 EUR | 0.3 km | 3 ans
2B217 | Piazzole | 50 | 60000 EUR | 0.7 km | 5 ans
2B222 | Pie-d'Orezza | 35 | 42000 EUR | 0.5 km | 4 ans
2B218 | Piedicorte-di-Gaggio | 114 | 136800 EUR | 1.6 km | 7 ans
2B219 | Piedicroce | 81 | 97200 EUR | 1.1 km | 6 ans
2B220 | Piedigriggio | 164 | 196800 EUR | 2.3 km | 7 ans
2B221 | Piedipartino | 19 | 22800 EUR | 0.3 km | 3 ans
2B225 | Pietra-di-Verde | 102 | 122400 EUR | 1.4 km | 7 ans
2B224 | Pietracorbara | 652 | 782400 EUR | 9.2 km | 9 ans
2B223 | Pietralba | 507 | 608400 EUR | 7.2 km | 9 ans
2B226 | Pietraserena | 62 | 74400 EUR | 0.9 km | 5 ans
2B227 | Pietricaggio | 32 | 38400 EUR | 0.5 km | 4 ans
2A228 | Pietrosella | 2074 | 2488800 EUR | 29.3 km | 9 ans
2B229 | Pietroso | 334 | 400800 EUR | 4.7 km | 8 ans
2B231 | Pigna | 128 | 153600 EUR | 1.8 km | 7 ans
2A232 | Pila-Canale | 271 | 325200 EUR | 3.8 km | 8 ans
2B233 | Pino | 148 | 177600 EUR | 2.1 km | 7 ans
2B234 | Piobetta | 20 | 24000 EUR | 0.3 km | 3 ans
2B235 | Pioggiola | 87 | 104400 EUR | 1.2 km | 6 ans
2B230 | Piève | 115 | 138000 EUR | 1.6 km | 7 ans
2B241 | Poggio-Marinaccio | 38 | 45600 EUR | 0.5 km | 4 ans
2B242 | Poggio-Mezzana | 885 | 1062000 EUR | 12.5 km | 9 ans
2B239 | Poggio-d'Oletta | 215 | 258000 EUR | 3.0 km | 8 ans
2B236 | Poggio-di-Nazza | 187 | 224400 EUR | 2.6 km | 8 ans
2B238 | Poggio-di-Venaco | 211 | 253200 EUR | 3.0 km | 8 ans
2A240 | Poggiolo | 104 | 124800 EUR | 1.5 km | 7 ans
2B243 | Polveroso | 31 | 37200 EUR | 0.4 km | 4 ans
2B244 | Popolasca | 41 | 49200 EUR | 0.6 km | 4 ans
2B245 | Porri | 44 | 52800 EUR | 0.6 km | 5 ans
2A247 | Porto-Vecchio | 11198 | 13437600 EUR | 158.1 km | 9 ans
2B248 | Prato-di-Giovellina | 52 | 62400 EUR | 0.7 km | 5 ans
2A249 | Propriano | 3996 | 4795200 EUR | 56.4 km | 9 ans
2B250 | Prunelli-di-Casacconi | 151 | 181200 EUR | 2.1 km | 7 ans
2B251 | Prunelli-di-Fiumorbo | 3880 | 4656000 EUR | 54.8 km | 9 ans
2B252 | Pruno | 180 | 216000 EUR | 2.5 km | 8 ans
2A253 | Quasquara | 66 | 79200 EUR | 0.9 km | 6 ans
2A254 | Quenza | 200 | 240000 EUR | 2.8 km | 8 ans
2B255 | Quercitello | 53 | 63600 EUR | 0.7 km | 5 ans
2B256 | Rapaggio | 32 | 38400 EUR | 0.5 km | 4 ans
2B257 | Rapale | 162 | 194400 EUR | 2.3 km | 7 ans
2A258 | Renno | 62 | 74400 EUR | 0.9 km | 5 ans
2A259 | Rezza | 61 | 73200 EUR | 0.9 km | 5 ans
2B260 | Riventosa | 145 | 174000 EUR | 2.0 km | 7 ans
2B261 | Rogliano | 530 | 636000 EUR | 7.5 km | 9 ans
2A262 | Rosazia | 53 | 63600 EUR | 0.7 km | 5 ans
2B263 | Rospigliani | 70 | 84000 EUR | 1.0 km | 6 ans
2B264 | Rusio | 65 | 78000 EUR | 0.9 km | 6 ans
2B265 | Rutali | 531 | 637200 EUR | 7.5 km | 9 ans
2B298 | Saint-Florent | 1694 | 2032800 EUR | 23.9 km | 9 ans
2A308 | Sainte-Lucie-de-Tallano | 363 | 435600 EUR | 5.1 km | 8 ans
2A266 | Salice | 102 | 122400 EUR | 1.4 km | 7 ans
2B267 | Saliceto | 46 | 55200 EUR | 0.6 km | 5 ans
2A268 | Sampolo | 90 | 108000 EUR | 1.3 km | 6 ans
2B297 | San-Damiano | 54 | 64800 EUR | 0.8 km | 5 ans
2B299 | San-Gavino-d'Ampugnani | 103 | 123600 EUR | 1.5 km | 7 ans
2A300 | San-Gavino-di-Carbini | 1204 | 1444800 EUR | 17.0 km | 9 ans
2B365 | San-Gavino-di-Fiumorbo | 99 | 118800 EUR | 1.4 km | 7 ans
2B301 | San-Gavino-di-Tenda | 64 | 76800 EUR | 0.9 km | 6 ans
2B302 | San-Giovanni-di-Moriani | 102 | 122400 EUR | 1.4 km | 7 ans
2B303 | San-Giuliano | 812 | 974400 EUR | 11.5 km | 9 ans
2B304 | San-Lorenzo | 138 | 165600 EUR | 1.9 km | 7 ans
