FAILED URLS REPORT (41 failures):
File: 01-le-grand-verrou-financier.md | URL: https://www.economie.gouv.fr/hcsf/search?query=taux+endettement | Error: HTTP Error 403: Forbidden
File: 02-le-mythe-des-subventions.md | URL: https://www.legifrance.gouv.fr/search/all?tab_selection=all&searchField=ALL&query=TVA+tourisme+corse | Error: HTTP Error 403: Forbidden
File: 02-le-mythe-des-subventions.md | URL: https://www.legifrance.gouv.fr/search/all?tab_selection=all&searchField=ALL&query=Article+244+quater+E+CGI | Error: HTTP Error 403: Forbidden
File: 02-le-mythe-des-subventions.md | URL: https://www.legifrance.gouv.fr/search/all?tab_selection=all&searchField=ALL&query=TVA+tourisme+corse | Error: HTTP Error 403: Forbidden
File: 03-etude-comparative-outre-mer-europe.md | URL: https://www.diplomatie.gouv.fr/fr/recherche/?recherche=statut+insulaire+europe | Error: <urlopen error [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée>
File: 03-etude-comparative-outre-mer-europe.md | URL: https://www.diplomatie.gouv.fr/fr/recherche/?recherche=statut+insulaire+europe | Error: <urlopen error [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée>
File: 04-la-marchandisation-de-l-eau.md | URL: https://www.services.eaufrance.fr/donnees/communes/2A004 | Error: HTTP Error 404: Not Found
File: 04-la-marchandisation-de-l-eau.md | URL: https://www.legifrance.gouv.fr/search/all?tab_selection=all&searchField=ALL&query=Article+L.+1411-13+CGCT | Error: HTTP Error 403: Forbidden
File: 04-la-marchandisation-de-l-eau.md | URL: https://www.services.eaufrance.fr/donnees/communes/2A004 | Error: HTTP Error 404: Not Found
File: 05-l-empire-des-sci-non-residentes.md | URL: https://annuaire-entreprises.data.gouv.fr/recherche?terme=SCI+corse+littoral | Error: HTTP Error 403: Forbidden
File: 05-l-empire-des-sci-non-residentes.md | URL: https://data.inpi.fr/recherche?q=SCI+corse | Error: HTTP Error 403: Forbidden
File: 05-l-empire-des-sci-non-residentes.md | URL: https://annuaire-entreprises.data.gouv.fr/recherche?terme=SCI+corse+littoral | Error: HTTP Error 302: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Found
File: 06-le-pillage-des-quotas-de-peche.md | URL: https://www.legifrance.gouv.fr/search/all?tab_selection=all&searchField=ALL&query=quota+thon+rouge+corse | Error: HTTP Error 403: Forbidden
